,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
412,ROOFTOP,"4 Manhattan Ave, New York, NY 10025, USA",ChIJfesOGCH2wokRmLHa0iSxS44,"4 MANHATTAN AVENUE, Manhattan Valley, Manhattan, NY, USA",40.7949141,-73.9638791,1,10025,OK,premise
413,ROOFTOP,"12 W 104th St, New York, NY 10025, USA",ChIJeYPbLiL2wokR5B5i95aWXaU,"12 WEST 104 STREET, Manhattan Valley, Manhattan, NY, USA",40.7969087,-73.96190469999999,1,10025,OK,premise
414,ROOFTOP,"4 W 108th St, New York, NY 10025, USA",ChIJaaPAnCL2wokRRGeR8SCUd-o,"4-6 WEST 108 STREET, Manhattan Valley, Manhattan, NY, USA",40.799385,-73.959767,1,10025,OK,street_address
415,ROOFTOP,"8 W 108th St, New York, NY 10025, USA",ChIJ5_RumyL2wokRqVnd-5tckJg,"8-10 WEST 108 STREET, Manhattan Valley, Manhattan, NY, USA",40.799451,-73.959924,1,10025,OK,street_address
416,ROOFTOP,"302 W 112th St, New York, NY 10026, USA",ChIJi7jylBf2wokRaa7w0QBRqiE,"302 WEST 112TH STREET, Manhattan Valley, Manhattan, NY, USA",40.8019174,-73.9578753,1,10026,OK,premise
417,ROOFTOP,"310 W 112th St, New York, NY 10026, USA",ChIJi6At6xf2wokRa2_BFS7k0yw,"310 WEST 112TH STREET, Manhattan Valley, Manhattan, NY, USA",40.8020482,-73.9581853,1,10026,OK,premise
418,ROOFTOP,"309 W 113th St, New York, NY 10026, USA",ChIJ1Y2KsRf2wokRS6AALPwICqo,"309 WEST 113 STREET, Manhattan Valley, Manhattan, NY, USA",40.802992,-73.957391,1,10026,OK,street_address
419,ROOFTOP,"307 W 113th St, New York, NY 10026, USA",ChIJs4b7sRf2wokRvcxqqsGJtCE,"307 WEST 113 STREET, Manhattan Valley, Manhattan, NY, USA",40.802957,-73.957314,1,10026,OK,street_address
420,ROOFTOP,"305 W 113th St, New York, NY 10026, USA",ChIJeVEQrhf2wokRpY9lSx2aJFs,"305 WEST 113 STREET, Manhattan Valley, Manhattan, NY, USA",40.8029269,-73.957234,1,10026,OK,street_address
421,ROOFTOP,"2095 Frederick Douglass Blvd, New York, NY 10026, USA",ChIJmRgVrxf2wokRRzpM15LStVM,"2095 FREDRICK DOUGLASS BL, Manhattan Valley, Manhattan, NY, USA",40.8027788,-73.9571352,1,10026,OK,street_address
422,ROOFTOP,"2099 Frederick Douglass Blvd, New York, NY 10026, USA",ChIJ1bYlrxf2wokRO0xBQohA7ps,"2099 FREDRICK DOUGLASS BL, Manhattan Valley, Manhattan, NY, USA",40.80279729999999,-73.9569454,1,10026,OK,premise
423,ROOFTOP,"2107 Frederick Douglass Blvd, New York, NY 10026, USA",ChIJGyoCqxf2wokR9cqawFfWQCE,"2107 FREDRICK DOUGLASS BL, Manhattan Valley, Manhattan, NY, USA",40.8030775,-73.9567131,1,10026,OK,street_address
424,ROOFTOP,"2109 Frederick Douglass Blvd, New York, NY 10026, USA",ChIJ1ardqhf2wokRDi0ZOniEUhw,"2109 FREDRICK DOUGLASS BL, Manhattan Valley, Manhattan, NY, USA",40.8031805,-73.9567734,1,10026,OK,street_address
425,ROOFTOP,"345 Manhattan Ave, New York, NY 10026, USA",ChIJXduVRhb2wokRj5GyCUbILTc,"345 MANHATTAN AVENUE, Manhattan Valley, Manhattan, NY, USA",40.8041808,-73.9577261,1,10026,OK,premise
426,ROOFTOP,"347 Manhattan Ave, New York, NY 10026, USA",ChIJHXpWQRb2wokRRk_X0XX8Sck,"347 MANHATTAN AVENUE, Manhattan Valley, Manhattan, NY, USA",40.8042899,-73.9576802,1,10026,OK,premise
427,ROOFTOP,"349 Manhattan Ave, New York, NY 10026, USA",ChIJU9thQRb2wokRLoAeEad-2Fw,"349 MANHATTAN AVENUE, Manhattan Valley, Manhattan, NY, USA",40.804358,-73.95765999999999,1,10026,OK,street_address
428,ROOFTOP,"6 Morningside Ave, New York, NY 10026, USA",ChIJ86qyQBb2wokR4tETXLwyca0,"6 MORNINGSIDE AVENUE, Manhattan Valley, Manhattan, NY, USA",40.8042971,-73.9580016,1,10026,OK,premise
429,ROOFTOP,"10 Manhattan Ave #16, New York, NY 10025, USA",ChIJ53DyFiH2wokRqKN_I60bWgM,"10-16 MANHATTAN AVENUE, Manhattan Valley, Manhattan, NY, USA",40.79516170000001,-73.9636744,1,10025,OK,subpremise
430,ROOFTOP,"6 W 107th St, New York, NY 10025, USA",ChIJ_8cbiCL2wokRR2Rp3EulEKc,"6 WEST 107TH STREET, Manhattan Valley, Manhattan, NY, USA",40.7988331,-73.96025159999999,1,10025,OK,premise
431,ROOFTOP,"7 W 108th St, New York, NY 10025, USA",ChIJ61CknyL2wokRy6NZjVgl6Qk,"7-9 WEST 108 STREET, Manhattan Valley, Manhattan, NY, USA",40.799819,-73.959645,1,10025,OK,street_address
432,ROOFTOP,"3 W 108th St, New York, NY 10025, USA",ChIJta5_dRj2wokR4w5i5u82_gE,"3-5 WEST 108 STREET, Manhattan Valley, Manhattan, NY, USA",40.799754,-73.959484,1,10025,OK,street_address
433,ROOFTOP,"306 W 112th St, New York, NY 10026, USA",ChIJPbg76xf2wokRfEi5i8swvlk,"306 WEST 112TH STREET, Manhattan Valley, Manhattan, NY, USA",40.801962,-73.958085,1,10026,OK,street_address
434,ROOFTOP,"1632 York Ave, New York, NY 10028, USA",ChIJuy2VvLBYwokROhX3U6aBQsY,"1632 YORK AVENUE, Manhattan-Unknown, Manhattan, NY, USA",40.7756602,-73.9469462,1,10028,OK,premise
435,ROOFTOP,"1630 York Ave, New York, NY 10028, USA",ChIJ36ZNo7BYwokRnKv9olE44NE,"1630 YORK AVENUE, Manhattan-Unknown, Manhattan, NY, USA",40.7756564,-73.9470137,1,10028,OK,premise
